time,x0y0,x1y0,x2y0,x3y0,x4y0,x5y0,x0y1,x1y1,x2y1,x3y1,x4y1,x5y1,x0y2,x1y2,x2y2,x3y2,x4y2,x5y2,x0y3,x1y3,x2y3,x3y3,x4y3,x5y3
2.282,26,6,0,81,15,2,10,5,0,81,15,2,4,7,0,80,16,2,69,8,14,81,22,6
2.3,26,6,0,82,15,2,10,5,0,80,15,2,4,7,0,81,16,2,69,8,14,81,22,6
2.315,26,6,0,83,15,2,11,5,0,80,15,2,4,7,0,82,16,2,69,8,14,80,22,6
2.331,26,6,0,83,15,2,11,5,0,79,15,2,4,7,0,83,16,2,69,8,14,80,22,6
2.348,26,6,0,83,15,2,11,5,0,80,15,2,4,7,0,83,16,2,69,8,14,80,22,6
2.365,26,6,0,83,15,2,11,5,0,80,15,2,4,7,0,82,16,2,69,8,14,81,22,6
2.382,26,5,0,83,15,2,11,5,0,81,16,2,4,6,0,82,16,2,69,8,14,82,22,6
2.399,26,5,0,82,15,2,11,5,0,81,16,2,4,6,0,81,16,2,69,9,14,83,22,6
2.417,26,5,0,81,15,2,10,6,0,82,16,2,4,6,0,80,16,2,69,9,14,83,22,6
2.434,26,5,0,80,15,2,10,6,0,82,16,2,4,6,0,80,16,2,69,8,14,84,23,6
2.448,26,5,0,80,15,2,10,5,0,83,16,2,4,6,0,79,16,2,69,8,14,84,23,6
2.468,26,5,0,80,14,2,10,5,0,83,16,2,4,6,0,79,16,2,69,8,14,84,23,6
2.483,26,5,0,80,14,2,10,5,0,82,16,2,4,6,0,80,16,2,69,8,14,84,23,6
2.501,26,6,0,81,14,2,10,5,0,82,16,2,4,6,0,80,16,2,69,8,14,83,22,6
2.514,26,6,0,81,14,2,10,5,0,81,16,1,4,7,0,81,16,2,69,8,14,83,22,6
2.534,27,6,0,82,15,2,10,5,0,80,16,1,4,7,0,82,16,2,69,8,14,82,22,6
2.55,27,6,0,83,15,2,11,5,0,79,16,1,4,7,0,82,16,2,69,8,14,81,22,6
2.564,27,5,0,83,15,2,11,5,0,79,16,1,4,7,0,83,16,2,69,8,14,81,22,5
2.584,27,5,0,84,15,2,11,5,0,79,16,1,4,6,0,82,16,2,69,8,14,81,22,5
2.601,26,5,0,83,15,2,11,5,0,80,16,1,4,6,0,82,16,2,69,8,14,81,22,5
2.618,26,5,0,82,15,2,11,5,0,80,16,1,4,6,0,81,16,2,69,8,14,82,22,5
2.633,26,5,0,81,15,2,11,6,0,81,16,2,4,6,0,80,16,2,69,8,14,82,22,5
2.651,26,5,0,81,15,2,11,6,0,82,16,2,4,6,0,79,16,2,69,9,14,83,23,5
2.664,26,5,0,80,14,2,11,5,0,82,16,2,4,6,0,79,16,2,69,9,14,84,23,5
2.684,26,5,0,80,14,2,11,5,0,83,16,2,4,6,0,79,16,2,69,9,14,84,23,6
2.7,26,5,0,80,14,2,11,5,0,82,16,2,4,6,0,79,16,2,69,9,14,84,23,6
2.717,26,5,0,80,14,2,11,5,0,82,16,2,4,6,0,80,16,2,69,8,14,84,22,6
2.734,26,5,0,81,14,2,11,5,0,81,16,2,4,6,0,80,16,2,69,8,14,83,22,6
2.749,26,5,0,81,14,2,11,5,0,80,16,2,4,6,0,81,16,2,69,8,14,82,22,5
2.767,26,6,0,82,15,2,11,5,0,79,16,2,4,6,0,81,16,2,69,8,14,82,22,5
2.783,26,6,0,83,15,2,11,5,0,79,16,2,4,6,0,82,16,2,69,8,14,81,22,5
2.8,26,5,0,83,15,2,11,5,0,79,16,2,4,6,0,81,17,2,69,8,14,81,22,5
2.814,26,5,0,84,15,2,11,5,0,79,16,2,4,6,0,81,17,2,69,8,15,81,22,5
2.834,26,5,0,83,15,2,11,5,0,80,16,2,4,6,0,80,16,2,69,8,15,81,22,5
2.85,26,5,0,82,15,2,11,5,0,80,16,2,4,6,0,80,16,2,69,9,15,82,22,5
2.867,26,5,0,82,15,2,11,6,0,81,16,2,4,6,0,79,16,2,69,9,15,82,22,5
2.881,27,5,0,81,15,2,11,6,0,82,16,2,4,6,0,79,16,2,69,9,15,83,22,6
2.902,27,5,0,81,14,2,10,5,0,82,16,2,4,6,0,79,16,2,69,9,15,84,22,6
2.917,27,5,0,80,14,2,10,5,0,83,16,2,4,6,0,79,16,2,69,9,14,84,22,6
2.933,27,5,0,80,14,2,10,5,0,82,16,2,4,6,0,80,16,2,69,9,14,84,22,6
2.95,27,6,0,81,14,2,10,5,0,82,16,2,4,6,0,80,16,2,69,8,14,84,22,6
2.966,27,6,0,81,14,2,10,5,0,81,16,2,4,7,0,81,16,2,69,8,14,83,22,6
2.983,27,6,0,82,15,2,10,5,0,80,16,2,4,7,0,81,16,2,69,8,14,82,22,5
3.0,27,6,0,83,15,2,10,5,0,79,16,2,4,7,0,82,16,2,69,8,14,82,22,5
3.016,27,5,0,83,15,2,11,5,0,79,16,2,4,7,0,83,16,2,69,8,14,81,22,5
3.033,27,5,0,84,15,2,11,5,0,79,16,2,4,6,0,83,16,2,69,8,14,81,22,5
3.049,26,5,0,83,15,2,11,5,0,80,16,2,4,6,0,82,16,2,69,8,14,81,22,5
3.066,26,5,0,83,15,2,11,5,0,80,16,2,4,6,0,82,16,2,69,9,15,82,22,5
3.083,26,5,0,82,15,2,11,6,0,81,16,2,4,6,0,81,16,2,69,9,15,83,22,5
3.099,26,5,0,81,15,2,11,6,0,82,16,2,4,6,0,81,16,2,69,9,15,84,22,6
3.116,26,5,0,80,15,2,11,5,0,83,16,2,4,6,0,80,16,2,69,9,15,84,22,6
3.133,26,5,0,80,15,2,11,5,0,83,16,2,4,6,0,80,16,2,69,9,14,84,22,6
3.151,26,5,0,80,15,2,11,5,0,82,16,2,4,6,0,80,16,2,69,9,14,85,22,6
3.166,26,5,0,80,15,2,11,5,0,82,16,2,4,6,0,80,16,2,69,8,14,84,22,6
3.184,27,5,0,81,15,2,11,5,0,81,16,2,4,6,0,80,16,2,69,8,14,83,22,6
3.2,27,5,0,81,15,2,11,5,0,81,16,2,4,7,0,81,16,2,69,8,14,82,22,5
